,,booking_id.jan,amount.jan,room_night.jan,booking_id.feb,amount.feb,room_night.feb,booking_id.march,amount.march,room_night.feb
183,38109,1.0,1212.0,,,,,,,
184,38733,1.0,21055.0,,,,,,,
185,38803,2.0,12992.0,5 days 00:00:00.000000000,,,,,,
186,38870,1.0,2924.0,,,,,,,
187,39744,1.0,2924.0,,,,,,,
188,40035,1.0,2014.0,1 days 00:00:00.000000000,,,,,,
189,40151,1.0,3247.0,2 days 00:00:00.000000000,,,,,,
190,40182,1.0,3588.0,1 days 00:00:00.000000000,,,,,,
191,40671,1.0,1949.0,1 days 00:00:00.000000000,,,,,,
192,41471,4.0,9421.0,2 days 00:00:00.000000000,,,,1.0,2339.0,
193,42304,1.0,7406.0,,,,,,,
194,42387,3.0,11353.0,5 days 00:00:00.000000000,,,,1.0,2568.0,
195,42531,1.0,1949.0,1 days 00:00:00.000000000,,,,,,
196,42551,1.0,1884.0,1 days 00:00:00.000000000,,,,,,
197,42741,2.0,7666.0,2 days 00:00:00.000000000,,,,1.0,2729.0,
198,42878,1.0,19297.0,,,,,,,
199,43287,1.0,2014.0,1 days 00:00:00.000000000,,,,1.0,1949.0,
200,43374,1.0,6201.0,2 days 00:00:00.000000000,,,,,,
201,43500,2.0,16701.0,3 days 00:00:00.000000000,,,,,,
202,43523,1.0,2989.0,,,,,,,
203,43827,1.0,4354.0,,,,,,,
204,43903,1.0,1494.0,,,,,,,
205,44047,1.0,17155.0,4 days 00:00:00.000000000,,,,,,
206,44199,1.0,2274.0,,1.0,2274.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
207,44291,2.0,3898.0,,1.0,2144.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
208,44356,2.0,4418.0,2 days 00:00:00.000000000,1.0,2404.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
209,44371,1.0,2339.0,1 days 00:00:00.000000000,,,,,,
210,44490,1.0,5719.0,1 days 00:00:00.000000000,,,,,,
211,45089,1.0,1884.0,,1.0,1732.0,,,,
212,45412,5.0,12800.0,4 days 00:00:00.000000000,2.0,4808.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
213,45445,1.0,1884.0,1 days 00:00:00.000000000,,,,,,
214,45625,1.0,1819.0,1 days 00:00:00.000000000,,,,,,
215,45644,2.0,10784.0,4 days 00:00:00.000000000,1.0,6821.0,3 days 00:00:00.000000000,2.0,9160.0,3 days 00:00:00.000000000
216,46140,1.0,12995.0,4 days 00:00:00.000000000,1.0,2469.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
217,46167,1.0,6757.0,,1.0,6107.0,2 days 00:00:00.000000000,,,2 days 00:00:00.000000000
218,46268,1.0,1893.0,,,,,,,
219,46373,1.0,2729.0,,,,,,,
220,46608,1.0,3271.0,1 days 00:00:00.000000000,,,,,,
221,46697,1.0,2209.0,,,,,,,
222,47942,2.0,3508.0,2 days 00:00:00.000000000,,,,,,
223,47963,1.0,2209.0,1 days 00:00:00.000000000,2.0,4186.0,2 days 00:00:00.000000000,,,2 days 00:00:00.000000000
224,48615,1.0,3314.0,1 days 00:00:00.000000000,,,,,,
225,48699,2.0,15141.0,3 days 00:00:00.000000000,,,,,,
226,48935,1.0,1949.0,,,,,,,
227,49431,1.0,2469.0,1 days 00:00:00.000000000,,,,,,
228,49442,2.0,4223.0,1 days 00:00:00.000000000,,,,,,
229,49619,2.0,12474.0,2 days 00:00:00.000000000,,,,,,
230,50174,2.0,5517.0,1 days 00:00:00.000000000,,,,,,
231,50419,2.0,12212.0,,,,,,,
232,50628,1.0,3704.0,1 days 00:00:00.000000000,,,,,,
233,50641,1.0,3444.0,,,,,,,
234,50869,2.0,5092.0,1 days 00:00:00.000000000,,,,,,
235,50900,1.0,2729.0,,,,,,,
236,51987,3.0,5912.0,2 days 00:00:00.000000000,,,,1.0,2014.0,
237,52445,1.0,2079.0,1 days 00:00:00.000000000,,,,1.0,2144.0,
238,52787,1.0,1754.0,1 days 00:00:00.000000000,,,,,,
239,53022,1.0,1856.0,,,,,,,
240,53934,1.0,2274.0,,,,,,,
241,53976,1.0,2209.0,1 days 00:00:00.000000000,,,,,,
242,54558,1.0,1689.0,1 days 00:00:00.000000000,,,,,,
243,55090,1.0,1949.0,1 days 00:00:00.000000000,,,,,,
244,55143,4.0,28517.0,5 days 00:00:00.000000000,2.0,7018.0,2 days 00:00:00.000000000,,,2 days 00:00:00.000000000
245,55271,1.0,2188.0,1 days 00:00:00.000000000,,,,,,
246,55369,1.0,7927.0,,,,,2.0,7534.0,
247,56421,1.0,2339.0,1 days 00:00:00.000000000,,,,,,
248,56558,1.0,3574.0,1 days 00:00:00.000000000,,,,1.0,3285.0,
249,56630,1.0,9357.0,,,,,,,
250,56694,2.0,5133.0,,1.0,3444.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
251,57573,1.0,2144.0,1 days 00:00:00.000000000,,,,,,
252,57801,2.0,3682.0,1 days 00:00:00.000000000,11.0,27975.0,9 days 00:00:00.000000000,15.0,31386.0,9 days 00:00:00.000000000
253,57879,1.0,2794.0,,,,,,,
254,59454,3.0,25147.0,,,,,,,
255,59546,2.0,6461.0,2 days 00:00:00.000000000,,,,,,
256,59634,1.0,2640.0,,,,,,,
257,59866,1.0,1949.0,1 days 00:00:00.000000000,1.0,2014.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
258,59877,2.0,4617.0,1 days 00:00:00.000000000,1.0,1958.0,,,,
259,60132,1.0,4157.0,2 days 00:00:00.000000000,1.0,2267.0,,,,
260,60231,1.0,1949.0,1 days 00:00:00.000000000,,,,,,
261,60319,1.0,3899.0,,,,,,,
262,60406,2.0,6237.0,1 days 00:00:00.000000000,,,,,,
263,60460,1.0,2404.0,,,,,,,
264,60515,1.0,2079.0,,,,,,,
265,60557,1.0,3444.0,,,,,,,
266,61254,1.0,1949.0,1 days 00:00:00.000000000,,,,,,
267,61311,1.0,2404.0,,2.0,3963.0,1 days 00:00:00.000000000,1.0,1884.0,1 days 00:00:00.000000000
268,61396,1.0,6367.0,,,,,,,
269,61602,1.0,2534.0,,,,,,,
270,61768,2.0,4219.0,1 days 00:00:00.000000000,,,,,,
271,61921,1.0,2209.0,,,,,,,
272,62098,1.0,2144.0,1 days 00:00:00.000000000,,,,,,
273,62101,1.0,2192.0,1 days 00:00:00.000000000,,,,,,
274,62184,1.0,2469.0,,,,,,,
275,62188,1.0,7016.0,3 days 00:00:00.000000000,,,,4.0,12279.0,
276,62595,1.0,21212.0,,,,,,,
277,62642,1.0,5002.0,2 days 00:00:00.000000000,,,,,,
278,63032,2.0,4678.0,2 days 00:00:00.000000000,,,,1.0,5067.0,
279,63569,1.0,1594.0,,,,,,,
280,63819,2.0,8949.0,2 days 00:00:00.000000000,,,,,,
281,63947,1.0,1494.0,,,,,,,
282,64904,1.0,2427.0,1 days 00:00:00.000000000,,,,,,
283,64956,1.0,3899.0,1 days 00:00:00.000000000,,,,,,
284,65208,1.0,5589.0,1 days 00:00:00.000000000,,,,,,
285,65660,2.0,8834.0,5 days 00:00:00.000000000,,,,,,
286,65796,3.0,6822.0,3 days 00:00:00.000000000,,,,,,
287,65873,1.0,3119.0,1 days 00:00:00.000000000,,,,,,
288,66097,1.0,3574.0,,,,,,,
289,66504,3.0,24615.0,6 days 00:00:00.000000000,,,,2.0,20531.0,
290,66762,1.0,3509.0,1 days 00:00:00.000000000,3.0,9487.0,1 days 00:00:00.000000000,4.0,12801.0,1 days 00:00:00.000000000
291,66828,1.0,4744.0,,,,,,,
292,67129,1.0,7618.0,4 days 00:00:00.000000000,,,,,,
293,67277,1.0,4872.0,2 days 00:00:00.000000000,,,,,,
294,67664,1.0,1884.0,,,,,,,
295,67726,2.0,6108.0,2 days 00:00:00.000000000,,,,,,
296,67743,1.0,2144.0,,,,,2.0,5523.0,
297,68127,1.0,2339.0,1 days 00:00:00.000000000,,,,,,
298,68193,1.0,14035.0,,1.0,8705.0,,4.0,29633.0,
299,68240,1.0,2005.0,1 days 00:00:00.000000000,,,,,,
300,68800,1.0,6510.0,,,,,,,
301,68866,1.0,6824.0,,,,,,,
302,68922,1.0,2339.0,1 days 00:00:00.000000000,1.0,2079.0,1 days 00:00:00.000000000,1.0,2404.0,1 days 00:00:00.000000000
303,69073,1.0,2209.0,1 days 00:00:00.000000000,,,,,,
304,69366,1.0,5522.0,,,,,,,
305,69402,1.0,2852.0,1 days 00:00:00.000000000,,,,,,
306,69450,4.0,8381.0,2 days 00:00:00.000000000,,,,,,
307,69610,1.0,9554.0,1 days 00:00:00.000000000,,,,,,
308,69750,3.0,10332.0,1 days 00:00:00.000000000,,,,,,
309,69769,1.0,3119.0,1 days 00:00:00.000000000,,,,,,
310,70892,1.0,2664.0,1 days 00:00:00.000000000,,,,,,
311,71170,1.0,2987.0,2 days 00:00:00.000000000,,,,,,
312,71338,1.0,2404.0,1 days 00:00:00.000000000,,,,,,
313,71382,2.0,9159.0,4 days 00:00:00.000000000,1.0,4540.0,2 days 00:00:00.000000000,3.0,11628.0,2 days 00:00:00.000000000
314,71428,1.0,3899.0,1 days 00:00:00.000000000,1.0,7925.0,3 days 00:00:00.000000000,,,3 days 00:00:00.000000000
315,71704,1.0,1754.0,1 days 00:00:00.000000000,1.0,2144.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
316,71800,1.0,1594.0,,1.0,1386.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
317,71922,2.0,8574.0,2 days 00:00:00.000000000,,,,,,
318,71996,1.0,5457.0,2 days 00:00:00.000000000,1.0,17351.0,,,,
319,72025,1.0,2534.0,1 days 00:00:00.000000000,,,,,,
320,72253,1.0,3054.0,,2.0,5523.0,,,,
321,72648,1.0,1949.0,1 days 00:00:00.000000000,3.0,6713.0,2 days 00:00:00.000000000,,,2 days 00:00:00.000000000
322,72656,2.0,23910.0,4 days 00:00:00.000000000,,,,,,
323,72674,1.0,11384.0,3 days 00:00:00.000000000,,,,,,
324,72807,2.0,6173.0,1 days 00:00:00.000000000,,,,,,
325,73042,1.0,3897.0,2 days 00:00:00.000000000,,,,,,
326,73708,1.0,3588.0,1 days 00:00:00.000000000,,,,,,
327,74325,2.0,3362.0,1 days 00:00:00.000000000,,,,,,
328,74628,1.0,3054.0,,,,,,,
329,74653,1.0,3444.0,1 days 00:00:00.000000000,2.0,6628.0,2 days 00:00:00.000000000,,,2 days 00:00:00.000000000
330,74860,4.0,9811.0,2 days 00:00:00.000000000,4.0,10526.0,2 days 00:00:00.000000000,3.0,33975.0,2 days 00:00:00.000000000
331,75070,2.0,4028.0,,,,,,,
332,75121,1.0,9812.0,,,,,,,
