city,hotel_id,amount_sum
Mumbai,407,17417
Mumbai,501,14882
Mumbai,534,87737
Mumbai,537,6889
Mumbai,538,55434
Mumbai,540,3964
Mumbai,545,10137
Mumbai,546,6044
Mumbai,566,95210
Mumbai,750,37814
Mumbai,800,133563
Mumbai,803,4939
Mumbai,804,26252
Mumbai,847,15468
Mumbai,879,6564
Mumbai,885,86536
Noida,44,54438
Noida,59,51454
Noida,69,1949
Noida,162,222381
Noida,203,39634
Noida,206,33200
Noida,217,15462
Noida,261,57940
Noida,287,13578
Noida,324,8445
Noida,436,6106
Noida,500,18515
Noida,567,11178
Noida,569,8707
Noida,574,55678
Noida,601,10329
Noida,636,3444
Noida,651,15203
Noida,670,21374
Noida,677,59064
Noida,685,10590
Noida,772,37684
Noida,777,28589
Noida,965,8054
Pune,211,51271
Pune,236,4159
Pune,238,12607
Pune,411,46525
Pune,509,12215
Pune,594,107255
Pune,614,34631
Pune,619,55289
Pune,620,12671
Pune,646,57096
Pune,648,48336
Pune,652,14684
Pune,663,40257
Pune,736,17089
Pune,742,2404
Pune,751,38925
Pune,754,4744
Pune,813,12670
Pune,850,14555
Pune,853,17870
Pune,995,9422
